Title,ISBN,False
Clean Code: A Handbook of Agile Software Craftsmanship,9780132350884,True
The Pragmatic Programmer: Your Journey to Mastery,9780135957059,True
Design Patterns: Elements of Reusable Object-Oriented Software,9780201633610,True
Introduction to the Theory of Computation,9781337550292,True
Refactoring: Improving the Design of Existing Code,9780134757599,True
The Art of Computer Programming,9780201038018,True
Software Engineering: A Practitioner's Approach,9780078022128,True
The Quran,9780199535958,True
Sahih Al-Bukhari: The Translation of the Meanings,9789960893800,True
The Life of the Prophet Muhammad (4 Volumes),9789839154414,True
The Noble Quran,9789960899550,True
Islamic Jurisprudence: An International Perspective,9789839543197,True

